,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 12]",33,1664,74,99246,68.2928601079286,3458,45,789
1,"[4, 4, 4, 10, 11]",33,1699,113,101340,66.51203819012038,3451,38,823
2,"[4, 4, 4, 11, 10]",33,1499,196,80994,64.93565794935658,3719,10,873
3,"[4, 4, 4, 12, 9]",33,1700,251,112266,63.55022831050229,3449,42,900
4,"[4, 4, 4, 13, 8]",33,1643,314,99060,60.035284350352846,3452,22,948
5,"[4, 4, 4, 14, 7]",33,1760,368,115344,58.43088418430884,3241,45,906
6,"[4, 4, 4, 15, 6]",33,1500,391,94812,55.57700290577004,3420,31,837
7,"[4, 4, 5, 8, 12]",33,1306,78,37896,68.93628061436281,3821,11,574
8,"[4, 4, 5, 9, 11]",33,1419,132,59208,68.52428393524283,3721,15,677
9,"[4, 4, 5, 10, 10]",33,1454,158,71562,67.83001245330013,3614,31,668
10,"[4, 4, 5, 11, 9]",33,1415,218,63222,63.85429638854296,3695,25,677
11,"[4, 4, 5, 12, 8]",33,1469,340,65064,63.390410958904106,3543,31,718
12,"[4, 4, 5, 13, 7]",33,1408,350,42192,60.4244499792445,3533,21,540
13,"[4, 4, 5, 14, 6]",33,1284,428,41496,58.06662515566625,3572,8,622
14,"[4, 4, 5, 15, 5]",33,1390,462,47406,55.97758405977584,3349,25,630
15,"[4, 4, 6, 7, 12]",33,1206,70,31848,68.98401826484019,3957,29,393
16,"[4, 4, 6, 8, 11]",33,1275,116,49020,67.96803652968036,3810,69,343
17,"[4, 4, 6, 9, 10]",33,1306,152,43890,69.67932752179328,3880,54,382
18,"[4, 4, 6, 10, 9]",33,1097,199,29640,65.03009547530095,3957,8,474
19,"[4, 4, 6, 11, 8]",33,1257,304,40524,67.64217517642174,3945,29,483
20,"[4, 4, 6, 12, 7]",33,1229,320,37194,64.18430884184309,3699,17,517
21,"[4, 4, 6, 13, 6]",33,1128,387,31992,61.0170195101702,3722,31,339
22,"[4, 4, 6, 14, 5]",33,1324,491,34356,61.60232461602324,3478,30,386
23,"[4, 4, 7, 6, 12]",33,1208,89,31128,71.29825653798257,4103,23,355
24,"[4, 4, 7, 7, 11]",33,968,127,20904,70.92154420921544,4266,18,239
25,"[4, 4, 7, 8, 10]",33,1067,206,22248,70.16293067662932,4174,15,292
26,"[4, 4, 7, 9, 9]",33,1084,260,17160,68.8345786633458,3983,9,238
27,"[4, 4, 7, 10, 8]",33,1217,264,38916,65.55728518057286,3820,52,282
28,"[4, 4, 7, 11, 7]",33,1152,326,31272,66.53279369032794,3816,38,231
29,"[4, 4, 7, 12, 6]",33,1008,436,25080,59.93565794935658,3936,23,288
30,"[4, 4, 7, 13, 5]",33,1231,528,38226,60.02698215026982,3681,64,203
31,"[4, 4, 8, 5, 12]",33,1110,92,29928,68.09672063096721,4076,49,169
32,"[4, 4, 8, 6, 11]",33,982,105,19464,69.1417600664176,4259,24,141
33,"[4, 4, 8, 7, 10]",33,1016,220,23706,68.69966791199667,4201,31,139
34,"[4, 4, 8, 8, 9]",33,805,292,11712,68.03030303030303,4190,1,199
35,"[4, 4, 8, 9, 8]",33,961,268,15144,67.40037359900374,4166,14,161
36,"[4, 4, 8, 10, 7]",33,869,328,26022,62.730386052303864,3950,38,150
37,"[4, 4, 8, 11, 6]",33,936,400,15384,62.727272727272734,3919,4,228
38,"[4, 4, 8, 12, 5]",33,1211,459,40614,59.639892071398926,3772,70,207
39,"[4, 4, 9, 4, 12]",33,1092,100,25440,70.06745537567456,4070,38,144
40,"[4, 4, 9, 5, 11]",33,924,144,14784,69.77895392278954,4321,9,158
41,"[4, 4, 9, 6, 10]",33,838,184,12870,68.80967206309671,4325,10,135
42,"[4, 4, 9, 7, 9]",33,822,270,16212,66.23080116230801,4309,15,123
43,"[4, 4, 9, 8, 8]",33,885,258,19944,67.02988792029888,4083,28,108
44,"[4, 4, 9, 9, 7]",33,993,347,31872,65.91946865919469,3981,53,124
45,"[4, 4, 9, 10, 6]",33,930,455,20064,64.40431714404316,4105,18,164
46,"[4, 4, 9, 11, 5]",33,966,491,26946,60.14425072644251,3877,35,153
47,"[4, 4, 10, 4, 11]",33,1031,93,19536,68.78995433789954,4151,24,115
48,"[4, 4, 10, 5, 10]",33,803,135,10158,68.22851805728519,4460,7,100
49,"[4, 4, 10, 6, 9]",33,987,162,27576,67.79265255292653,4159,43,86
50,"[4, 4, 10, 7, 8]",33,809,302,18624,64.29431299294312,4180,21,77
51,"[4, 4, 10, 8, 7]",33,798,356,18390,63.42154420921544,4180,20,81
52,"[4, 4, 10, 9, 6]",33,919,433,22680,62.65981735159817,4028,43,41
53,"[4, 4, 10, 10, 5]",33,846,494,16332,59.3939393939394,3847,13,107
54,"[4, 4, 11, 4, 10]",33,1032,118,25092,68.46201743462017,4097,38,78
55,"[4, 4, 11, 5, 9]",33,972,284,22014,69.07015359070154,4136,33,75
56,"[4, 4, 11, 6, 8]",33,1075,297,21522,67.4771689497717,3957,36,57
57,"[4, 4, 11, 7, 7]",33,854,418,16740,65.14321295143213,3956,16,62
58,"[4, 4, 11, 8, 6]",33,741,411,10536,62.250933997509335,4206,13,55
59,"[4, 4, 11, 9, 5]",33,976,460,27612,59.92943129929431,3865,44,65
60,"[4, 4, 12, 4, 9]",33,980,216,21192,67.13262764632628,4146,19,130
61,"[4, 4, 12, 5, 8]",33,1012,281,21696,67.33084267330842,4040,34,74
62,"[4, 4, 12, 6, 7]",33,891,336,13344,62.67434620174346,4060,12,64
63,"[4, 4, 12, 7, 6]",33,918,432,25548,64.16459111664591,3981,43,52
64,"[4, 4, 12, 8, 5]",33,963,482,27024,59.00269821502698,3853,52,37
65,"[4, 4, 13, 4, 8]",33,1119,331,25818,66.97799916977999,3987,34,103
66,"[4, 4, 13, 5, 7]",33,1026,276,26940,62.951432129514316,3855,43,64
67,"[4, 4, 13, 6, 6]",33,834,370,17952,60.92569530925695,3963,13,89
68,"[4, 4, 13, 7, 5]",33,839,498,17940,59.153175591531756,3996,28,45
69,"[4, 4, 14, 4, 7]",33,1001,365,19110,64.04524699045247,4007,21,83
70,"[4, 4, 14, 5, 6]",33,737,411,13968,59.9678289746783,4093,14,56
71,"[4, 4, 14, 6, 5]",33,881,452,25014,59.704234122042344,3947,43,42
72,"[4, 4, 15, 4, 6]",33,801,420,16302,59.2019510170195,4091,14,98
73,"[4, 4, 15, 5, 5]",33,806,503,9282,58.81174761311747,4009,6,85
74,"[4, 5, 4, 8, 12]",33,1729,111,114822,71.65213781652137,3451,33,892
75,"[4, 5, 4, 9, 11]",33,1777,125,129822,71.14881693648817,3367,41,907
76,"[4, 5, 4, 10, 10]",33,1634,158,119142,66.53279369032794,3427,35,903
77,"[4, 5, 4, 11, 9]",33,1415,232,136686,66.27750103777501,3530,17,903
78,"[4, 5, 4, 12, 8]",33,1782,262,126996,67.03196347031964,3242,78,827
79,"[4, 5, 4, 13, 7]",33,1507,335,100326,63.88231631382316,3437,14,968
80,"[4, 5, 4, 14, 6]",33,1629,385,112800,60.43482772934827,3372,24,913
81,"[4, 5, 4, 15, 5]",33,1639,482,126654,58.12266500622665,3167,31,915
82,"[4, 5, 5, 7, 12]",33,1298,67,44784,69.66064757160648,3762,25,538
83,"[4, 5, 5, 8, 11]",33,1364,119,54180,69.91801577418015,3848,20,701
84,"[4, 5, 5, 9, 10]",33,1364,197,51786,70.13906185139062,3641,37,566
85,"[4, 5, 5, 10, 9]",33,1233,188,46008,67.44396014943959,3775,14,616
86,"[4, 5, 5, 11, 8]",33,1282,249,36252,65.07264425072644,3740,19,496
