,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 17, 5]",38,1674,132,94386,69.8206560922855,3943,36,916
1,"[4, 4, 4, 9, 17, 5]",43,1602,1283,93636,42.566103854730805,3282,23,860
2,"[4, 4, 4, 10, 16, 5]",38,1639,173,77334,68.88067772170152,3906,28,751
3,"[4, 4, 4, 10, 16, 5]",43,1592,1319,80796,41.798343421471806,3265,17,818
4,"[4, 4, 4, 11, 15, 5]",38,1763,234,111558,68.08399423215573,3763,75,813
5,"[4, 4, 4, 11, 15, 5]",43,1556,1299,95400,42.300892003822874,3275,17,852
6,"[4, 4, 4, 12, 14, 5]",38,1529,295,90912,69.09426820475846,4087,8,952
7,"[4, 4, 4, 12, 14, 5]",43,1439,1328,78120,42.16788786237655,3355,7,824
8,"[4, 4, 4, 13, 13, 5]",38,1619,394,75996,65.77775775054073,3731,25,781
9,"[4, 4, 4, 13, 13, 5]",43,1511,1353,83526,43.3617394074546,3369,28,856
10,"[4, 4, 4, 14, 12, 5]",38,1431,342,96582,63.92664023071377,3821,8,895
11,"[4, 4, 4, 14, 12, 5]",43,1766,1235,140832,42.8273335457152,3165,43,933
12,"[4, 4, 4, 15, 11, 5]",38,1531,409,87570,61.246395097332375,3718,29,829
13,"[4, 4, 4, 15, 11, 5]",43,1599,1332,81456,42.58282892640968,3249,20,819
14,"[4, 4, 5, 8, 17, 5]",38,1474,122,76806,71.78622927180966,4143,39,683
15,"[4, 4, 5, 8, 17, 5]",43,1268,1442,40512,42.93325899968143,3489,17,546
16,"[4, 4, 5, 9, 16, 5]",38,1406,145,47274,69.3159697188176,4245,43,504
17,"[4, 4, 5, 9, 16, 5]",43,1394,1323,46554,42.92848040777318,3525,24,584
18,"[4, 4, 5, 10, 15, 5]",38,1327,252,50664,70.68673395818314,4222,20,644
19,"[4, 4, 5, 10, 15, 5]",43,1492,1362,62688,45.05176807900605,3412,44,611
20,"[4, 4, 5, 11, 14, 5]",38,1423,304,56994,71.4041095890411,4128,44,589
21,"[4, 4, 5, 11, 14, 5]",43,1552,1392,66396,45.22061165976425,3455,62,624
22,"[4, 4, 5, 12, 13, 5]",38,1307,272,51576,66.74927901946648,4152,8,695
23,"[4, 4, 5, 12, 13, 5]",43,1254,1343,41070,46.2734947435489,3441,31,490
24,"[4, 4, 5, 13, 12, 5]",38,1491,386,53652,64.53586878154289,3881,30,638
25,"[4, 4, 5, 13, 12, 5]",43,1434,1370,51984,44.4385154507805,3427,23,637
